pais,cod_zona,cod_ruta,desc_marca,objetivo_clientes
GT,12001,12004,CIFRUT,159
GT,12001,12004,PULP,114
GT,12001,12004,SPORADE,182
GT,12001,12004,VOLT,125
GT,12001,12004,KR,68
GT,12001,12004,BIO ALOE,45
GT,12001,12004,D GUSSTO,45
GT,12001,12005,BIG,144
GT,12001,12005,CIELO,185
GT,12001,12005,CIFRUT,144
GT,12001,12005,PULP,103
GT,12001,12005,SPORADE,165
GT,12001,12005,VOLT,113
GT,12001,12005,KR,62
GT,12001,12005,BIO ALOE,41
GT,12001,12005,D GUSSTO,41
GT,12001,12006,BIG,193
GT,12001,12006,CIELO,248
GT,12001,12006,CIFRUT,193
GT,12001,12006,PULP,138
GT,12001,12006,SPORADE,221
GT,12001,12006,VOLT,152
GT,12001,12006,KR,83
GT,12001,12006,BIO ALOE,55
GT,12001,12006,D GUSSTO,55
GT,12001,12007,BIG,122
GT,12001,12007,CIELO,157
GT,12001,12007,CIFRUT,122
GT,12001,12007,PULP,87
GT,12001,12007,SPORADE,139
GT,12001,12007,VOLT,96
GT,12001,12007,KR,52
GT,12001,12007,BIO ALOE,35
GT,12001,12007,D GUSSTO,35
GT,12001,12008,BIG,132
GT,12001,12008,CIELO,169
GT,12001,12008,CIFRUT,132
GT,12001,12008,PULP,94
GT,12001,12008,SPORADE,150
GT,12001,12008,VOLT,103
GT,12001,12008,KR,56
GT,12001,12008,BIO ALOE,38
GT,12001,12008,D GUSSTO,38
GT,12001,12009,BIG,185
GT,12001,12009,CIELO,238
GT,12001,12009,CIFRUT,185
GT,12001,12009,PULP,132
GT,12001,12009,SPORADE,211
GT,12001,12009,VOLT,145
GT,12001,12009,KR,79
GT,12001,12009,BIO ALOE,53
GT,12001,12009,D GUSSTO,53
GT,12001,12020,BIG,139
GT,12001,12020,CIELO,178
GT,12001,12020,CIFRUT,139
GT,12001,12020,PULP,99
GT,12001,12020,SPORADE,158
GT,12001,12020,VOLT,109
GT,12001,12020,KR,59
GT,12001,12020,BIO ALOE,40
GT,12001,12020,D GUSSTO,40
GT,12001,12036,BIG,123
