PAIS,A1,S1,A2,S2,A3,S3,A4,S4,A5,S5,A6,S6,A7,S7,A8,S8,A9,S9,A10,S10,A11,S11,A12,S12,A13,S13,A14,S14,A15,S15,A16,S16,A17,S17,A18,S18,A19,S19,A20,S20,A21,S21
PE,0.73,2.00,0.73,2.00,0.73,2.00,0.73,1.70,0.73,1.10,0.73,2.00,0.73,2.00,0.73,2.00,0.73,1.40,0.73,1.80,0.73,1.60,0.73,1.50,0.73,1.70,0.73,2.00,0.73,1.80,0.73,1.60,0.73,2.00,0.73,2.00,0.73,2.00,0.73,2.00,0.73,1.60
PE,0.74,2.00,0.74,2.00,0.74,2.00,0.74,1.80,0.74,1.20,0.74,2.00,0.74,2.00,0.74,2.00,0.74,1.50,0.74,1.90,0.74,1.70,0.74,1.60,0.74,1.80,0.74,2.00,0.74,1.90,0.74,1.70,0.74,2.00,0.74,2.00,0.74,2.00,0.74,2.00,0.74,1.70
PE,0.75,2.00,0.75,2.00,0.75,2.00,0.75,1.90,0.75,1.30,0.75,2.00,0.75,2.00,0.75,2.00,0.75,1.60,0.75,2.00,0.75,1.80,0.75,1.70,0.75,1.90,0.75,2.00,0.75,2.00,0.75,1.80,0.75,2.00,0.75,2.00,0.75,2.00,0.75,2.00,0.75,1.80
PE,0.76,2.00,0.76,2.00,0.76,2.00,0.76,2.00,0.76,1.40,0.76,2.00,0.76,2.00,0.76,2.00,0.76,1.70,0.76,2.00,0.76,1.90,0.76,1.80,0.76,2.00,0.76,2.00,0.76,2.00,0.76,1.90,0.76,2.00,0.76,2.00,0.76,2.00,0.76,2.00,0.76,1.90
PE,0.77,2.00,0.77,2.00,0.77,2.00,0.77,2.00,0.77,1.50,0.77,2.00,0.77,2.00,0.77,2.00,0.77,1.80,0.77,2.00,0.77,2.00,0.77,1.90,0.77,2.00,0.77,2.00,0.77,2.00,0.77,2.00,0.77,2.00,0.77,2.00,0.77,2.00,0.77,2.00,0.77,2.00
PE,0.78,2.00,0.78,2.00,0.78,2.00,0.78,2.00,0.78,1.60,0.78,2.00,0.78,2.00,0.78,2.00,0.78,1.90,0.78,2.00,0.78,2.00,0.78,2.00,0.78,2.00,0.78,2.00,0.78,2.00,0.78,2.00,0.78,2.00,0.78,2.00,0.78,2.00,0.78,2.00,0.78,2.00
PE,0.79,2.00,0.79,2.00,0.79,2.00,0.79,2.00,0.79,1.70,0.79,2.00,0.79,2.00,0.79,2.00,0.79,2.00,0.79,2.00,0.79,2.00,0.79,2.00,0.79,2.00,0.79,2.00,0.79,2.00,0.79,2.00,0.79,2.00,0.79,2.00,0.79,2.00,0.79,2.00,0.79,2.00
PE,0.80,2.00,0.80,2.00,0.80,2.00,0.80,2.00,0.80,1.80,0.80,2.00,0.80,2.00,0.80,2.00,0.80,2.00,0.80,2.00,0.80,2.00,0.80,2.00,0.80,2.00,0.80,2.00,0.80,2.00,0.80,2.00,0.80,2.00,0.80,2.00,0.80,2.00,0.80,2.00,0.80,2.00
PE,0.81,2.00,0.81,2.00,0.81,2.00,0.81,2.00,0.81,1.90,0.81,2.00,0.81,2.00,0.81,2.00,0.81,2.00,0.81,2.00,0.81,2.00,0.81,2.00,0.81,2.00,0.81,2.00,0.81,2.00,0.81,2.00,0.81,2.00,0.81,2.00,0.81,2.00,0.81,2.00,0.81,2.00
PE,0.82,2.00,0.82,2.00,0.82,2.00,0.82,2.00,0.82,2.00,0.82,2.00,0.82,2.00,0.82,2.00,0.82,2.00,0.82,2.00,0.82,2.00,0.82,2.00,0.82,2.00,0.82,2.00,0.82,2.00,0.82,2.00,0.82,2.00,0.82,2.00,0.82,2.00,0.82,2.00,0.82,2.00
PE,0.83,2.00,0.83,2.00,0.83,2.00,0.83,2.00,0.83,2.00,0.83,2.00,0.83,2.00,0.83,2.00,0.83,2.00,0.83,2.00,0.83,2.00,0.83,2.00,0.83,2.00,0.83,2.00,0.83,2.00,0.83,2.00,0.83,2.00,0.83,2.00,0.83,2.00,0.83,2.00,0.83,2.00
PE,0.84,2.00,0.84,2.00,0.84,2.00,0.84,2.00,0.84,2.00,0.84,2.00,0.84,2.00,0.84,2.00,0.84,2.00,0.84,2.00,0.84,2.00,0.84,2.00,0.84,2.00,0.84,2.00,0.84,2.00,0.84,2.00,0.84,2.00,0.84,2.00,0.84,2.00,0.84,2.00,0.84,2.00
PE,0.85,2.00,0.85,2.00,0.85,2.00,0.85,2.00,0.85,2.00,0.85,2.00,0.85,2.00,0.85,2.00,0.85,2.00,0.85,2.00,0.85,2.00,0.85,2.00,0.85,2.00,0.85,2.00,0.85,2.00,0.85,2.00,0.85,2.00,0.85,2.00,0.85,2.00,0.85,2.00,0.85,2.00
PE,0.86,2.00,0.86,2.00,0.86,2.00,0.86,2.00,0.86,2.00,0.86,2.00,0.86,2.00,0.86,2.00,0.86,2.00,0.86,2.00,0.86,2.00,0.86,2.00,0.86,2.00,0.86,2.00,0.86,2.00,0.86,2.00,0.86,2.00,0.86,2.00,0.86,2.00,0.86,2.00,0.86,2.00
PE,0.87,2.00,0.87,2.00,0.87,2.00,0.87,2.00,0.87,2.00,0.87,2.00,0.87,2.00,0.87,2.00,0.87,2.00,0.87,2.00,0.87,2.00,0.87,2.00,0.87,2.00,0.87,2.00,0.87,2.00,0.87,2.00,0.87,2.00,0.87,2.00,0.87,2.00,0.87,2.00,0.87,2.00
PE,0.88,2.00,0.88,2.00,0.88,2.00,0.88,2.00,0.88,2.00,0.88,2.00,0.88,2.00,0.88,2.00,0.88,2.00,0.88,2.00,0.88,2.00,0.88,2.00,0.88,2.00,0.88,2.00,0.88,2.00,0.88,2.00,0.88,2.00,0.88,2.00,0.88,2.00,0.88,2.00,0.88,2.00
PE,0.89,2.00,0.89,2.00,0.89,2.00,0.89,2.00,0.89,2.00,0.89,2.00,0.89,2.00,0.89,2.00,0.89,2.00,0.89,2.00,0.89,2.00,0.89,2.00,0.89,2.00,0.89,2.00,0.89,2.00,0.89,2.00,0.89,2.00,0.89,2.00,0.89,2.00,0.89,2.00,0.89,2.00
PE,0.90,2.00,0.90,2.00,0.90,2.00,0.90,2.00,0.90,2.00,0.90,2.00,0.90,2.00,0.90,2.00,0.90,2.00,0.90,2.00,0.90,2.00,0.90,2.00,0.90,2.00,0.90,2.00,0.90,2.00,0.90,2.00,0.90,2.00,0.90,2.00,0.90,2.00,0.90,2.00,0.90,2.00
PE,0.91,2.00,0.91,2.00,0.91,2.00,0.91,2.00,0.91,2.00,0.91,2.00,0.91,2.00,0.91,2.00,0.91,2.00,0.91,2.00,0.91,2.00,0.91,2.00,0.91,2.00,0.91,2.00,0.91,2.00,0.91,2.00,0.91,2.00,0.91,2.00,0.91,2.00,0.91,2.00,0.91,2.00
PE,0.92,2.00,0.92,2.00,0.92,2.00,0.92,2.00,0.92,2.00,0.92,2.00,0.92,2.00,0.92,2.00,0.92,2.00,0.92,2.00,0.92,2.00,0.92,2.00,0.92,2.00,0.92,2.00,0.92,2.00,0.92,2.00,0.92,2.00,0.92,2.00,0.92,2.00,0.92,2.00,0.92,2.00
PE,0.93,2.00,0.93,2.00,0.93,2.00,0.93,2.00,0.93,2.00,0.93,2.00,0.93,2.00,0.93,2.00,0.93,2.00,0.93,2.00,0.93,2.00,0.93,2.00,0.93,2.00,0.93,2.00,0.93,2.00,0.93,2.00,0.93,2.00,0.93,2.00,0.93,2.00,0.93,2.00,0.93,2.00
PE,0.94,2.00,0.94,2.00,0.94,2.00,0.94,2.00,0.94,2.00,0.94,2.00,0.94,2.00,0.94,2.00,0.94,2.00,0.94,2.00,0.94,2.00,0.94,2.00,0.94,2.00,0.94,2.00,0.94,2.00,0.94,2.00,0.94,2.00,0.94,2.00,0.94,2.00,0.94,2.00,0.94,2.00
PE,0.95,2.00,0.95,2.00,0.95,2.00,0.95,2.00,0.95,2.00,0.95,2.00,0.95,2.00,0.95,2.00,0.95,2.00,0.95,2.00,0.95,2.00,0.95,2.00,0.95,2.00,0.95,2.00,0.95,2.00,0.95,2.00,0.95,2.00,0.95,2.00,0.95,2.00,0.95,2.00,0.95,2.00
PE,0.96,2.00,0.96,2.00,0.96,2.00,0.96,2.00,0.96,2.00,0.96,2.00,0.96,2.00,0.96,2.00,0.96,2.00,0.96,2.00,0.96,2.00,0.96,2.00,0.96,2.00,0.96,2.00,0.96,2.00,0.96,2.00,0.96,2.00,0.96,2.00,0.96,2.00,0.96,2.00,0.96,2.00
PE,0.97,2.00,0.97,2.00,0.97,2.00,0.97,2.00,0.97,2.00,0.97,2.00,0.97,2.00,0.97,2.00,0.97,2.00,0.97,2.00,0.97,2.00,0.97,2.00,0.97,2.00,0.97,2.00,0.97,2.00,0.97,2.00,0.97,2.00,0.97,2.00,0.97,2.00,0.97,2.00,0.97,2.00
PE,0.98,2.00,0.98,2.00,0.98,2.00,0.98,2.00,0.98,2.00,0.98,2.00,0.98,2.00,0.98,2.00,0.98,2.00,0.98,2.00,0.98,2.00,0.98,2.00,0.98,2.00,0.98,2.00,0.98,2.00,0.98,2.00,0.98,2.00,0.98,2.00,0.98,2.00,0.98,2.00,0.98,2.00
PE,0.99,2.00,0.99,2.00,0.99,2.00,0.99,2.00,0.99,2.00,0.99,2.00,0.99,2.00,0.99,2.00,0.99,2.00,0.99,2.00,0.99,2.00,0.99,2.00,0.99,2.00,0.99,2.00,0.99,2.00,0.99,2.00,0.99,2.00,0.99,2.00,0.99,2.00,0.99,2.00,0.99,2.00
PE,1.00,2.00,1.00,2.00,1.00,2.00,1.00,2.00,1.00,2.00,1.00,2.00,1.00,2.00,1.00,2.00,1.00,2.00,1.00,2.00,1.00,2.00,1.00,2.00,1.00,2.00,1.00,2.00,1.00,2.00,1.00,2.00,1.00,2.00,1.00,2.00,1.00,2.00,1.00,2.00,1.00,2.00
