pais;ruta;descripcion;tipo;valor
SV;;Candado-volumen;1;80
SV;;Candado-cobertura;1;90
SV;;Candado-puntos;1;70
SV;;BIG;2;15
SV;;BIO ALOE;2;10
SV;;CIFRUT;2;15
SV;;PULP;2;15
SV;;VOLT;2;10
SV;;SIMPLE;2;10
SV;;TRIPLE;2;15
SV;;Hit_Rate;2;20
SV;;SIMPLE;3;1
SV;;TRIPLE;3;3
